公司名称,年份,营业收入亿,营收同比%,毛利率%,归母净利率%,销售费用率%,研发费用率%,归母净利润亿,经营现金流亿,OCF/归母净利,存货周转率
安克创新,2022,142.5,13.3,38.7,8.0,20.6,7.6,11.4348621719,14.2392548401,1.25,4.931306
安克创新,2023,175.1,22.9,43.5,9.2,22.2,8.1,16.1487196181,14.299133641800001,0.89,5.080956
安克创新,2024,247.1,41.1,43.7,8.6,22.5,8.5,21.1442952695,27.454587169099998,1.3,4.93135
安克创新,2025,305.1,23.5,45.1,8.3,22.4,9.5,25.451318804,4.808066452099999,0.19,4.073293
致欧科技,2022,54.6,-8.6,31.6,4.6,22.0,0.8,2.5011474348,9.8806252074,3.95,4.284213
致欧科技,2023,60.7,11.3,36.3,6.8,23.2,1.0,4.128837498999999,14.9907878812,3.63,4.932233
致欧科技,2024,81.2,33.7,34.7,4.1,24.7,1.0,3.3357374507,22.939401463000003,6.88,4.819345
致欧科技,2025,87.0,7.1,34.5,3.9,25.2,0.8,3.3580609683,24.7047701417,7.36,4.383677
赛维时代,2022,49.1,-11.8,65.6,3.8,35.3,1.0,1.8475708812,4.1805861938,2.26,2.254902
赛维时代,2023,65.6,33.7,45.8,5.1,35.7,1.3,3.3554766984,5.4961196122,1.64,5.05175
赛维时代,2024,102.8,56.5,43.8,2.1,37.8,1.2,2.1409922424000003,-4.6853500996,-2.19,4.431715
赛维时代,2025,118.2,15.0,42.7,2.4,35.4,0.9,2.8297776137,12.497305470499999,4.42,4.395171
华凯易佰,2022,44.2,112.9,37.9,4.9,24.6,1.2,2.169830525,2.8531189508,1.31,4.641386
华凯易佰,2023,65.2,47.6,37.0,5.1,23.4,1.0,3.3216154385000003,3.6600990005000003,1.1,5.700794
华凯易佰,2024,90.2,38.4,33.9,1.9,25.1,0.7,1.7016199853999998,-3.2958979793000003,-1.94,4.483782
华凯易佰,2025,91.3,1.2,33.4,1.6,25.4,0.8,1.4671012147,9.7188554501,6.62,4.382965
吉宏股份,2022,53.8,3.8,40.7,3.4,29.3,2.8,1.8397989751,3.9095509852999997,2.12,7.040927
吉宏股份,2023,66.9,24.5,46.7,5.2,35.0,2.1,3.4509858802999998,7.2559975659000004,2.1,7.599755
吉宏股份,2024,55.3,-17.4,43.9,3.3,33.5,2.3,1.8193112457,3.8667960406,2.13,6.85957
吉宏股份,2025,67.2,21.6,46.9,4.1,35.3,2.0,2.7683196960000003,2.6121984871,0.94,7.40195
