公司代码,公司名称,选项,指标,报告期,数值
300866,安克创新,常用指标,归母净利润,20260630,1702037215.39
300866,安克创新,常用指标,营业总收入,20260630,16605008753.42
300866,安克创新,常用指标,营业成本,20260630,14334481086.95
300866,安克创新,常用指标,净利润,20260630,1744822270.0
300866,安克创新,常用指标,扣非净利润,20260630,1438775165.82
300866,安克创新,常用指标,股东权益合计(净资产),20260630,11752974457.73
300866,安克创新,常用指标,商誉,20260630,
300866,安克创新,常用指标,经营现金流量净额,20260630,722529395.01
300866,安克创新,常用指标,基本每股收益,20260630,3.1743
300866,安克创新,常用指标,每股净资产,20260630,21.606824
300866,安克创新,常用指标,每股现金流,20260630,1.347307
300866,安克创新,常用指标,净资产收益率(ROE),20260630,15.11
300866,安克创新,常用指标,总资产报酬率(ROA),20260630,9.920626
300866,安克创新,常用指标,毛利率,20260630,49.822729
300866,安克创新,常用指标,销售净利率,20260630,10.507806
300866,安克创新,常用指标,期间费用率,20260630,36.074863
300866,安克创新,常用指标,资产负债率,20260630,47.578533
300866,安克创新,每股指标,基本每股收益,20260630,3.1743
300866,安克创新,每股指标,稀释每股收益,20260630,3.127
300866,安克创新,每股指标,摊薄每股收益_最新股数,20260630,2.894353
300866,安克创新,每股指标,摊薄每股净资产_期末股数,20260630,21.606824
300866,安克创新,每股指标,调整每股净资产_期末股数,20260630,20.11832
300866,安克创新,每股指标,每股净资产_最新股数,20260630,19.704349
300866,安克创新,每股指标,每股经营现金流,20260630,1.347307
300866,安克创新,每股指标,每股现金流量净额,20260630,-0.140758
300866,安克创新,每股指标,每股企业自由现金流量,20260630,1.972201
300866,安克创新,每股指标,每股股东自由现金流量,20260630,2.140016
300866,安克创新,每股指标,每股未分配利润,20260630,13.822559
300866,安克创新,每股指标,每股资本公积金,20260630,5.818409
300866,安克创新,每股指标,每股盈余公积金,20260630,0.49989
300866,安克创新,每股指标,每股留存收益,20260630,14.32245
300866,安克创新,每股指标,每股营业收入,20260630,30.963528
300866,安克创新,每股指标,每股营业总收入,20260630,30.963528
300866,安克创新,每股指标,每股息税前利润,20260630,3.929859
300866,安克创新,盈利能力,净资产收益率(ROE),20260630,15.11
300866,安克创新,盈利能力,摊薄净资产收益率,20260630,14.688905
300866,安克创新,盈利能力,净资产收益率_平均,20260630,15.395849
300866,安克创新,盈利能力,净资产收益率_平均_扣除非经常损益,20260630,13.014501
300866,安克创新,盈利能力,摊薄净资产收益率_扣除非经常损益,20260630,12.416903
300866,安克创新,盈利能力,息税前利润率,20260630,12.691897
300866,安克创新,盈利能力,总资产报酬率,20260630,9.920626
300866,安克创新,盈利能力,总资本回报率,20260630,14.381198
300866,安克创新,盈利能力,投入资本回报率,20260630,13.777341
300866,安克创新,盈利能力,息前税后总资产报酬率_平均,20260630,8.36578
300866,安克创新,盈利能力,毛利率,20260630,49.822729
300866,安克创新,盈利能力,销售净利率,20260630,10.507806
