公司名称,年份,营业收入,销售费用,研发费用
华凯易佰,2012,339644373.33,21828251.35,
华凯易佰,2013,418694415.44,27561647.76,
华凯易佰,2014,435745634.57,33247185.16,
华凯易佰,2015,481501008.47,39814336.93,
华凯易佰,2016,529584201.09,38335411.75,
华凯易佰,2017,561813616.92,40926322.8,21345138.36
华凯易佰,2018,448493089.65,37166883.35,17759428.26
华凯易佰,2019,411779890.88,39274574.46,17330114.9
华凯易佰,2020,135162927.17,21521599.87,7108180.58
华凯易佰,2021,2074861491.34,579576021.24,28916186.85
华凯易佰,2022,4417024029.4,1088393744.92,51742592.54
华凯易佰,2023,6517860595.35,1526922883.54,65175180.33
华凯易佰,2024,9022209993.05,2263945466.43,66238726.02
华凯易佰,2025,9133295094.71,2322434602.11,70957645.32
吉宏股份,2011,308581061.71,14976460.73,
吉宏股份,2012,355491188.56,16152932.8,
吉宏股份,2013,387255903.69,19768733.59,
吉宏股份,2014,385927475.74,20311628.7,
吉宏股份,2015,521865300.36,28081259.07,
吉宏股份,2016,569901638.12,29232571.54,
吉宏股份,2017,1132613257.78,159081054.33,23489208.7
吉宏股份,2018,2269045472.46,599747293.45,34638980.9
吉宏股份,2019,3009252726.74,733394987.51,63703538.5
吉宏股份,2020,4410213459.25,1060922204.63,80301177.38
吉宏股份,2021,5177657129.4,1450646071.48,126000910.99
吉宏股份,2022,5375883625.69,1575180154.25,148511746.17
吉宏股份,2023,6694680652.34,2342145585.25,141980094.41
吉宏股份,2024,5529258572.55,1849611438.97,124429981.67
吉宏股份,2025,6721612130.17,2375772298.37,136104791.21
安克创新,2014,746046745.8,231043841.97,
安克创新,2015,1296241067.25,424318470.36,
安克创新,2016,2506757368.28,822043652.48,104762986.0
安克创新,2017,3903005543.49,1302032855.56,200703588.26
安克创新,2018,5232218241.52,1641743420.96,286626159.85
安克创新,2019,6654738184.93,2082588921.7,393670449.02
安克创新,2020,9352629343.29,1819027357.82,567402295.09
安克创新,2021,12574203308.96,2444566278.29,778430652.22
安克创新,2022,14250519798.29,2937801137.13,1080462829.88
安克创新,2023,17507203144.25,3886612914.21,1413867418.29
安克创新,2024,24710080329.34,5569790884.12,2108444601.44
安克创新,2025,30514403376.92,6826802834.83,2892785453.8
致欧科技,2018,1594676000.0,735234700.0,4163200.0
致欧科技,2019,2325566308.87,999592061.41,10429459.62
致欧科技,2020,3970992675.87,822969947.14,12769337.62
致欧科技,2021,5967379509.22,1313075385.69,24510398.57
致欧科技,2022,5455389426.78,1201019657.71,45010569.38
致欧科技,2023,6074187229.49,1409967683.11,60073598.68
致欧科技,2024,8123835098.24,2006511252.66,77287386.26
致欧科技,2025,8700946185.92,2191788654.25,66678745.81
赛维时代,2014,24827528.76,21527394.57,
赛维时代,2015,614243623.89,312112051.09,
赛维时代,2016,1480074856.46,797905851.95,
赛维时代,2017,1949029607.82,1073593121.69,30080700.58
赛维时代,2018,2245139200.0,1357534300.0,32273900.0
赛维时代,2019,2878775073.9,1661484698.83,33557843.19
赛维时代,2020,5253011000.45,2653462475.04,33343844.17
赛维时代,2021,5564672255.54,2809423004.38,36044712.34
赛维时代,2022,4909118542.64,1734053287.93,47613006.32
赛维时代,2023,6563662921.14,2341534619.26,87688608.09
赛维时代,2024,10275379442.25,3881846908.19,118945806.75
赛维时代,2025,11816529344.62,4187526377.14,106781388.57
