公司名称,公司代码,REPORT_DATE,TOTAL_OPERATE_INCOME,OPERATE_INCOME,RESEARCH_EXPENSE,SALE_EXPENSE,MANAGE_EXPENSE,ME_RESEARCH_EXPENSE,FINANCE_EXPENSE,year
吉宏股份,002803,2025-12-31,6721612130.17,6721612130.17,136104791.21,2375772298.37,254013260.13,,27039577.11,2025
吉宏股份,002803,2024-12-31,5529258572.55,5529258572.55,124429981.67,1849611438.97,247115005.18,,7055294.61,2024
吉宏股份,002803,2023-12-31,6694680652.34,6694680652.34,141980094.41,2342145585.25,224452386.26,,244180.32,2023
吉宏股份,002803,2022-12-31,5375883625.69,5375883625.69,148511746.17,1575180154.25,154143560.14,,7764053.23,2022
吉宏股份,002803,2021-12-31,5177657129.4,5177657129.4,126000910.99,1450646071.48,131882883.44,,33711933.49,2021
吉宏股份,002803,2020-12-31,4410213459.25,4410213459.25,80301177.38,1060922204.63,115421563.61,,34772844.95,2020
吉宏股份,002803,2019-12-31,3009252726.74,3009252726.74,63703538.5,733394987.51,98408775.8,,23851266.87,2019
吉宏股份,002803,2018-12-31,2269045472.46,2269045472.46,34638980.9,599747293.45,59216036.48,,22671229.9,2018
吉宏股份,002803,2017-12-31,1132613257.78,1132613257.78,23489208.7,159081054.33,40110470.99,,13242457.14,2017
吉宏股份,002803,2016-12-31,569901638.12,569901638.12,,29232571.54,29896491.05,,9255514.12,2016
吉宏股份,002803,2015-12-31,521865300.36,521865300.36,,28081259.07,26950180.61,,12801411.89,2015
吉宏股份,002803,2014-12-31,385927475.74,385927475.74,,20311628.7,23821948.25,,11088534.74,2014
吉宏股份,002803,2013-12-31,387255903.69,387255903.69,,19768733.59,17956447.18,,7318184.53,2013
吉宏股份,002803,2012-12-31,355491188.56,355491188.56,,16152932.8,14240764.48,,7641332.76,2012
吉宏股份,002803,2011-12-31,308581061.71,308581061.71,,14976460.73,13130476.25,,7701433.35,2011
