公司名称,公司代码,股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
赛维时代,301381,301381,2026-06-30,按行业分类,跨境出口电商,5867858707.34,0.946236,3299834149.87,0.928765,2568024557.47,0.969676,0.437643
赛维时代,301381,301381,2026-06-30,按行业分类,其他主营业务,312110614.999999,0.05033,246114163.75,0.069271,65996451.25,0.02492,0.211452
赛维时代,301381,301381,2026-06-30,按行业分类,其他(补充),21291596.06,0.003433,6978889.21,0.001964,14312706.85,0.005404,0.672223
赛维时代,301381,301381,2026-06-30,按产品分类,跨境出口电商,5867858707.34,0.946236,3299834149.87,0.928765,2568024557.47,0.969676,0.437643
赛维时代,301381,301381,2026-06-30,按产品分类,物流服务,294966674.03,0.047566,220881108.96,0.062169,74085565.07,0.027974,0.251166
赛维时代,301381,301381,2026-06-30,按产品分类,其他,38435537.03,0.006198,32211944.0,0.009066,6223593.03,0.00235,0.161923
赛维时代,301381,301381,2026-06-30,按地区分类,境外,6160368173.16,0.993406,3515378921.0,0.989432,2644989252.16,0.998737,0.429356
赛维时代,301381,301381,2026-06-30,按地区分类,境内,40892745.24,0.006594,37548281.83,0.010568,3344463.41,0.001263,0.081786
赛维时代,301381,301381,2025-12-31,按行业分类,跨境出口电商,11013445786.3,0.932037,6103159657.66,0.901204,4910286128.64,0.973433,0.445845
赛维时代,301381,301381,2025-12-31,按行业分类,物流服务,683567584.8,0.057848,583835655.07,0.08621,99731929.73,0.019771,0.145899
赛维时代,301381,301381,2025-12-31,按行业分类,其他,119515973.52,0.010114,85233689.35,0.012586,34282284.17,0.006796,0.286843
赛维时代,301381,301381,2025-12-31,按产品分类,跨境出口电商,11013445786.3,0.932037,6103159657.66,0.901204,4910286128.64,0.973433,0.445845
赛维时代,301381,301381,2025-12-31,按产品分类,物流服务,683567584.8,0.057848,583835655.07,0.08621,99731929.73,0.019771,0.145899
赛维时代,301381,301381,2025-12-31,按产品分类,其他,119515973.52,0.010114,85233689.35,0.012586,34282284.17,0.006796,0.286843
赛维时代,301381,301381,2025-12-31,按地区分类,境外,11676539024.49,0.988153,6664561335.77,0.984102,5011977688.72,0.993592,0.429235
